Country_Code,City,Longitude,Latitude,Cuisines,Average_Cost_for_two,Currency,Has_Table_booking,Has_Online_delivery,Price_range,Aggregate_rating,Votes
1,1,77.2039851,28.6943776,1,250,1,0,0,1,0,1
1,2,77.0394496,28.4702133,2,600,1,0,0,2,2.9,26
1,3,77.3185323,28.4106593,3,400,1,0,0,1,3.1,26
1,3,77.315795,28.4452616,4,350,1,0,0,1,2.9,4
1,4,77.3851512,28.5646289,5,300,1,0,0,1,0,2
1,1,77.282282,28.6328078,6,250,1,0,0,1,0,1
1,1,77.2956527,28.6427539,7,350,1,0,0,1,3,4
1,1,77.090488,28.667271,8,350,1,0,0,1,3.3,14
1,1,0,0,9,300,1,0,0,1,0,1
1,1,77.19629455,28.558874,3,350,1,0,1,1,2.8,60
189,5,18.41766667,-33.91733333,10,200,2,0,0,3,4,185
1,1,77.2830396,28.6405769,11,500,1,0,1,2,2.6,8
216,6,-81.0954,32.0804,12,40,3,0,0,3,3.3,1201
1,2,77.0747614,28.4710018,8,300,1,0,0,1,3.7,50
1,2,77.0827529,28.4766191,13,400,1,0,1,1,3.3,38
1,1,77.24002328,28.54125928,14,800,1,0,1,2,3.5,139
189,5,18.417566,-33.917258,15,250,2,0,0,3,3.8,127
1,1,77.2194983,28.5556355,16,1400,1,1,1,3,4.2,2131
1,1,77.2260944,28.5420321,8,700,1,0,0,2,3.1,11
1,1,77.30620712,28.5890838,3,400,1,0,0,1,0,0
1,1,77.2069673,28.5233797,17,500,1,0,0,2,3.2,159
1,1,77.3080199,28.6280118,18,400,1,0,0,1,3.5,65
1,7,73.76363333,15.55656111,19,1000,1,0,0,4,4.2,856
1,1,77.2919382,28.6895977,20,500,1,0,0,2,0,2
1,8,80.32779722,26.49210556,4,1500,1,0,0,4,3.9,86
1,1,77.1371133,28.6542971,21,400,1,0,0,1,3.2,19
1,1,77.2039227,28.5522405,22,350,1,0,0,1,2.6,220
1,1,77.2040261,28.6949494,7,350,1,0,1,1,3.1,72
1,4,77.32083656,28.56733177,23,550,1,0,1,2,3.6,397
1,1,77.248847,28.5399215,24,150,1,0,0,1,3.2,17
1,4,77.36498103,28.59689799,25,500,1,0,1,2,2.3,24
1,1,77.2456868,28.5306722,26,1000,1,0,1,3,3.8,843
1,1,77.1201223,28.6477737,27,1400,1,0,0,3,4.1,1980
1,1,77.1002905,28.6449182,28,300,1,0,0,1,0,3
1,1,77.211528,28.5363241,29,700,1,0,0,2,2.3,185
1,1,77.10144192,28.67004128,5,500,1,0,1,2,3.3,31
1,1,77.12192863,28.66666563,30,250,1,0,1,1,4.1,99
1,9,78.36885475,17.45970973,31,1800,1,0,1,3,4.2,1859
1,4,77.360571,28.565447,32,1300,1,0,1,3,3,6
1,10,72.77262915,21.14966885,33,900,1,0,0,3,3.6,66
1,1,77.1616827,28.7033536,34,600,1,0,1,2,3.2,28
1,1,77.2075896,28.6984683,35,200,1,0,0,1,2.6,16
1,1,0,0,36,150,1,0,0,1,3.1,8
1,2,77.0351435,28.4771621,37,350,1,0,0,1,0,2
1,1,77.2339142,28.6472969,38,200,1,0,0,1,3.4,12
1,1,77.097836,28.6313278,28,100,1,0,0,1,3.2,38
1,2,77.0652612,28.4875966,39,200,1,0,1,1,3.3,12
1,1,76.9718366,28.6103695,8,250,1,0,0,1,0,2
1,11,88.35412715,22.55108374,11,1600,1,0,0,3,4.9,1753
1,9,78.3475536,17.424114,40,1900,1,1,0,3,4.3,860
1,3,77.3270132,28.3692291,8,150,1,0,0,1,3,11
1,1,77.2044507,28.6968859,18,150,1,0,0,1,3.7,93
1,12,73.7735722,18.5927182,3,1000,1,1,0,3,4.4,208
1,1,77.11487744,28.6393819,18,200,1,0,0,1,3.5,21
1,1,77.1423902,28.6529002,41,1200,1,1,0,3,2.8,15
1,4,77.32454438,28.56857349,42,1500,1,1,0,3,2.6,521
1,1,77.2300185,28.6079765,43,1700,1,1,1,3,3.8,337
1,1,77.2271781,28.6563302,44,300,1,0,0,1,2.8,4
216,13,-83.986119,34.533198,45,25,3,0,0,2,4.1,171
1,14,81.0011849,26.8528099,46,800,1,0,0,3,4.6,567
1,1,77.1818906,28.5227376,3,250,1,0,0,1,2.9,9
1,1,77.18608741,28.54186954,11,150,1,0,0,1,0,0
30,15,-43.17583333,-22.96216667,47,90,4,0,0,3,4.5,29
1,1,77.2047215,28.6934181,48,800,1,0,1,2,3.9,419
216,16,-82.0327,33.4086,49,25,3,0,0,2,3.5,304
1,1,77.06082389,28.6743958,3,100,1,0,0,1,0,1
215,17,-3.199521,55.95404,50,30,5,0,0,3,3.8,31
1,1,77.0909455,28.5871261,29,500,1,0,1,2,0,2
1,1,77.2305318,28.6081696,3,1600,1,1,0,3,4.4,64
1,1,77.2300888,28.5438243,36,400,1,0,0,1,3.3,46
1,1,77.18569312,28.54150757,51,200,1,0,0,1,0,0
1,2,77.0940831,28.4663219,52,850,1,0,1,2,3.6,241
1,2,77.0888677,28.4953148,18,400,1,0,1,1,3.6,455
