Country Code,City,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Price range,Aggregate rating,Votes
1,New Delhi,77.2039851,28.6943776,Cafe,250,Indian Rupees(Rs.),No,No,1,0,1
1,Gurgaon,77.0394496,28.4702133,"Mithai, South Indian, Chinese, Street Food, North Indian",600,Indian Rupees(Rs.),No,No,2,2.9,26
1,Faridabad,77.3185323,28.4106593,North Indian,400,Indian Rupees(Rs.),No,No,1,3.1,26
1,Faridabad,77.315795,28.4452616,Chinese,350,Indian Rupees(Rs.),No,No,1,2.9,4
1,Noida,77.3851512,28.5646289,"North Indian, Chinese, Fast Food",300,Indian Rupees(Rs.),No,No,1,0,2
1,New Delhi,77.282282,28.6328078,"Desserts, North Indian",250,Indian Rupees(Rs.),No,No,1,0,1
1,New Delhi,77.2956527,28.6427539,"Raw Meats, North Indian, Fast Food",350,Indian Rupees(Rs.),No,No,1,3,4
1,New Delhi,77.090488,28.667271,Bakery,350,Indian Rupees(Rs.),No,No,1,3.3,14
1,New Delhi,0,0,"South Indian, Fast Food",300,Indian Rupees(Rs.),No,No,1,0,1
1,New Delhi,77.19629455,28.558874,North Indian,350,Indian Rupees(Rs.),No,Yes,1,2.8,60
189,Cape Town,18.41766667,-33.91733333,"Cafe, Bakery, Tea, Vegetarian",200,Rand(R),No,No,3,4,185
1,New Delhi,77.2830396,28.6405769,"North Indian, Chinese",500,Indian Rupees(Rs.),No,Yes,2,2.6,8
216,Savannah,-81.0954,32.0804,Southern,40,Dollar($),No,No,3,3.3,1201
1,Gurgaon,77.0747614,28.4710018,Bakery,300,Indian Rupees(Rs.),No,No,1,3.7,50
1,Gurgaon,77.0827529,28.4766191,"Fast Food, Chinese, Bengali",400,Indian Rupees(Rs.),No,Yes,1,3.3,38
1,New Delhi,77.24002328,28.54125928,"North Indian, Bengali",800,Indian Rupees(Rs.),No,Yes,2,3.5,139
189,Cape Town,18.417566,-33.917258,Sushi,250,Rand(R),No,No,3,3.8,127
1,New Delhi,77.2194983,28.5556355,"Italian, Continental, Cafe",1400,Indian Rupees(Rs.),Yes,Yes,3,4.2,2131
1,New Delhi,77.2260944,28.5420321,Bakery,700,Indian Rupees(Rs.),No,No,2,3.1,11
1,New Delhi,77.30620712,28.5890838,North Indian,400,Indian Rupees(Rs.),No,No,1,0,0
1,New Delhi,77.2069673,28.5233797,"Lebanese, Chinese",500,Indian Rupees(Rs.),No,No,2,3.2,159
1,New Delhi,77.3080199,28.6280118,"Ice Cream, Desserts",400,Indian Rupees(Rs.),No,No,1,3.5,65
1,Goa,73.76363333,15.55656111,"North Indian, Continental, Goan",1000,Indian Rupees(Rs.),No,No,4,4.2,856
1,New Delhi,77.2919382,28.6895977,"Mithai, Fast Food",500,Indian Rupees(Rs.),No,No,2,0,2
1,Kanpur,80.32779722,26.49210556,Chinese,1500,Indian Rupees(Rs.),No,No,4,3.9,86
1,New Delhi,77.1371133,28.6542971,"Street Food, South Indian, Mithai",400,Indian Rupees(Rs.),No,No,1,3.2,19
1,New Delhi,77.2039227,28.5522405,"Fast Food, Burger",350,Indian Rupees(Rs.),No,No,1,2.6,220
1,New Delhi,77.2040261,28.6949494,"Raw Meats, North Indian, Fast Food",350,Indian Rupees(Rs.),No,Yes,1,3.1,72
1,Noida,77.32083656,28.56733177,"Mexican, Fast Food",550,Indian Rupees(Rs.),No,Yes,2,3.6,397
1,New Delhi,77.248847,28.5399215,Mithai,150,Indian Rupees(Rs.),No,No,1,3.2,17
1,Noida,77.36498103,28.59689799,"American, Fast Food, Salad, Healthy Food",500,Indian Rupees(Rs.),No,Yes,2,2.3,24
1,New Delhi,77.2456868,28.5306722,"Chinese, Thai",1000,Indian Rupees(Rs.),No,Yes,3,3.8,843
1,New Delhi,77.1201223,28.6477737,"Continental, Italian, American",1400,Indian Rupees(Rs.),No,No,3,4.1,1980
1,New Delhi,77.1002905,28.6449182,Fast Food,300,Indian Rupees(Rs.),No,No,1,0,3
1,New Delhi,77.211528,28.5363241,"Pizza, Fast Food",700,Indian Rupees(Rs.),No,No,2,2.3,185
1,New Delhi,77.10144192,28.67004128,"North Indian, Chinese, Fast Food",500,Indian Rupees(Rs.),No,Yes,2,3.3,31
1,New Delhi,77.12192863,28.66666563,"Bakery, Desserts",250,Indian Rupees(Rs.),No,Yes,1,4.1,99
1,Hyderabad,78.36885475,17.45970973,"Cafe, Continental, North Indian, Chinese",1800,Indian Rupees(Rs.),No,Yes,3,4.2,1859
1,Noida,77.360571,28.565447,"Fast Food, Italian, North Indian, Chinese",1300,Indian Rupees(Rs.),No,Yes,3,3,6
1,Surat,72.77262915,21.14966885,"Italian, Lebanese, Mexican",900,Indian Rupees(Rs.),No,No,3,3.6,66
1,New Delhi,77.1616827,28.7033536,"North Indian, South Indian, Chinese",600,Indian Rupees(Rs.),No,Yes,2,3.2,28
1,New Delhi,77.2075896,28.6984683,"Bakery, Fast Food",200,Indian Rupees(Rs.),No,No,1,2.6,16
1,New Delhi,0,0,"Fast Food, North Indian",150,Indian Rupees(Rs.),No,No,1,3.1,8
1,Gurgaon,77.0351435,28.4771621,"North Indian, Mughlai",350,Indian Rupees(Rs.),No,No,1,0,2
1,New Delhi,77.2339142,28.6472969,Mughlai,200,Indian Rupees(Rs.),No,No,1,3.4,12
1,New Delhi,77.097836,28.6313278,Fast Food,100,Indian Rupees(Rs.),No,No,1,3.2,38
1,Gurgaon,77.0652612,28.4875966,Desserts,200,Indian Rupees(Rs.),No,Yes,1,3.3,12
1,New Delhi,76.9718366,28.6103695,Bakery,250,Indian Rupees(Rs.),No,No,1,0,2
1,Kolkata,88.35412715,22.55108374,"North Indian, Chinese",1600,Indian Rupees(Rs.),No,No,3,4.9,1753
1,Hyderabad,78.3475536,17.424114,"North Indian, Japanese, Italian",1900,Indian Rupees(Rs.),Yes,No,3,4.3,860
1,Faridabad,77.3270132,28.3692291,Bakery,150,Indian Rupees(Rs.),No,No,1,3,11
